feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,emotion
-726.2172,68.54142,3.2933977,12.2053,5.5102777,13.66741,-2.9838283,3.0980291,-3.3108134,-1.5643841,-7.8616524,-2.1242816,2.849204,0.0021197072,0.0504756804435483,neutral
-675.8518,68.959435,-4.9626026,5.423141,0.60984236,3.1607316,-9.528844,2.6474686,-9.230493,-3.4923794,-2.7755568,-0.8583372,-3.2529047,0.0033448308,0.0550984581195014,neutral
-650.82495,75.053345,-1.5596936,10.679241,3.4528768,9.057185,-3.5068495,-5.2496476,-8.949531,-2.107145,-1.3579398,-7.44806,-1.8247749,0.003757135,0.0578106859520123,neutral
-718.60034,60.42958,-7.504327,8.469442,0.09844026,2.2735035,-9.096851,1.3273765,-10.595312,-6.9613605,-5.2387695,-2.8739552,-2.8553789,0.0023342986,0.0491541708669354,neutral
-745.62787,79.435814,11.096164,14.474286,7.888728,15.525535,-2.4213848,4.975185,-0.91648763,-1.1385552,1.2851641,1.0312934,2.5144024,0.0013985182,0.0617112379807692,neutral
-767.4759,73.5274,-14.756846,3.7603445,2.179436,7.1440024,-11.641492,-3.9296548,-6.3410864,-7.774187,-2.549265,-1.218584,-3.3801289,0.0015208906,0.063484362519968,neutral
-685.1911,91.44493,6.7003827,19.388224,8.064279,17.239891,-7.0186515,2.3264651,-8.858726,-1.7122339,2.0464091,-2.9419847,-3.6179066,0.002557476,0.0731207842383879,neutral
-724.56476,79.07821,8.611061,21.369987,9.2174425,15.374386,-6.712665,13.984431,-6.3313217,-2.73641,4.1792006,-2.754071,2.254231,0.0023973677,0.0580149363601823,neutral
-771.5905,100.49775,22.603916,28.222462,20.75665,24.176329,5.546236,8.003059,4.282116,4.4004383,7.340108,4.594511,1.8255422,0.0012981453,0.0339761044381107,neutral
-596.9454,64.63007,6.648077,8.077851,-0.23067465,11.433211,-8.115619,0.8882917,-8.19381,-3.273792,-2.920718,-1.6070095,-3.1588488,0.009250941,0.0978445030120482,neutral
-758.8544,71.90479,19.165865,27.339312,8.181487,17.790678,1.2747116,9.492997,3.1479506,2.6817021,1.2542042,1.4822495,2.8047478,0.001715554,0.0528088585805084,neutral
-708.8339,75.429184,2.318978,11.532309,3.199732,8.529489,-8.022232,3.2352846,-4.8939056,-7.322584,-6.5563197,-3.1947448,-5.166245,0.00250462,0.065126122617302,neutral
-752.0955,74.34215,7.89519,9.511388,5.648328,12.030303,-0.7333288,1.5818408,-1.0220777,-2.022728,-2.5054338,-0.13211884,2.646599,0.0017711212,0.0634798395553691,neutral
-784.7431,52.277733,6.131365,14.390514,0.262269,2.738638,-11.140385,4.423401,-8.787227,-1.9141564,-3.3079875,-2.1420603,-0.48702732,0.0010788525,0.0493298864072085,neutral
-677.5579,87.56763,3.7571275,10.619969,7.315471,15.397902,-4.811064,3.847392,0.48716268,-1.2379534,-1.654885,-1.0821203,-1.0528024,0.0040446166,0.0649923976463607,neutral
-693.5733,69.53658,8.307068,12.569411,1.8204076,5.6317844,-9.4724655,-2.6315365,-6.655187,-3.8533616,-4.3746276,-1.8511716,-4.994951,0.0027400116,0.0565488114316239,neutral
