mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,emotion
-697.7926,54.89004,0.6634653,12.435786,7.7339506,0.5307502,-3.2166312,-3.1593943,-10.977551,-2.848711,0.81529754,-3.037067,1.9554465,neutral
-650.7109,54.477303,-9.090127,8.411754,-4.3875356,-3.7657063,-5.362752,-8.610381,-3.9715521,-0.8959739,-4.7214065,-1.9953876,-5.056729,neutral
-614.73914,56.70819,-2.685535,10.650176,4.240806,-2.4720974,-12.03572,-6.65451,-3.1527145,-8.526168,-1.9532496,-2.605839,-4.994535,neutral
-695.8503,42.93426,-7.2745566,8.977729,-4.1705785,-4.924891,-6.5379605,-12.679187,-7.3114715,-3.6008549,-3.2500985,-7.083312,-4.5401716,neutral
-713.4335,68.36094,7.989171,15.139791,11.715775,0.43098274,1.002558,-2.7731187,-0.12734741,1.8932489,2.404442,1.5577695,-0.20470847,neutral
-736.0868,50.89171,-18.46466,8.632231,0.63062984,-10.233562,-8.63306,-9.96855,-7.245039,0.26921886,-6.2777176,-3.4392776,-7.3254495,neutral
-650.27673,71.56552,6.6284614,17.708052,10.26493,-2.4720685,-5.9334826,-7.738141,2.2934802,-4.2967253,-3.3096173,-1.1172874,2.49902,neutral
-688.74756,63.24865,8.932159,21.843258,7.304754,2.1434186,5.8973794,-9.047281,2.743243,-1.7892541,2.2842968,-3.9707367,0.73977554,neutral
-736.1229,92.022095,21.974056,31.902094,22.148632,9.448863,5.3015537,5.607601,6.9287586,6.6251783,-0.13331713,8.49071,6.1544657,neutral
-571.1634,51.561947,0.6186631,4.7337565,5.0447707,-3.5404563,-6.744278,-7.723666,-3.9377508,-1.3471259,-6.1218038,-3.3092377,-0.045675714,neutral
-731.38007,62.224876,24.513342,20.070845,12.545768,6.1058836,7.2661133,2.158617,0.57302856,1.0894156,4.236563,3.2639344,0.08466274,neutral
-683.84106,59.444565,-0.825168,10.537366,1.5768417,-4.614727,-1.5890801,-9.401205,-10.498347,-4.1009994,-7.026869,-3.229095,-8.4293785,neutral
-734.8146,65.16496,3.167181,11.046907,10.18708,1.695842,-1.0456296,-1.9742696,-4.3899145,0.97171265,2.031386,-1.2649982,4.457544,neutral
-761.8684,42.15133,6.3705907,10.231775,-5.840604,-5.97038,-3.898551,-8.260018,-4.175017,-3.423044,-1.7041897,-5.1956306,-2.8175187,neutral
-636.1296,68.812126,-2.3801987,12.385966,10.588827,-2.0869365,1.1574137,-1.7418488,-3.7176037,-1.2529274,-1.4916745,0.43260264,-0.88574916,neutral
-661.3847,57.86619,5.734875,9.329723,-0.9674277,-7.8006964,-8.779259,-5.9853797,-6.4836807,-2.2852418,-8.638397,-2.7096887,-3.3878875,neutral
-643.41547,74.270744,10.1289625,19.266329,17.357733,7.346875,10.001106,-5.469794,-4.187753,6.554221,-0.9718298,0.6891042,5.4083533,neutral
-751.19867,54.40895,6.180119,9.967446,0.4433813,-5.427116,-1.8321078,-13.977192,-6.9333057,-1.6625738,-1.1481075,-5.5754213,-5.6391864,neutral
-720.9089,77.156685,12.188697,18.508013,7.5342426,7.921146,3.8615205,-2.4131799,-5.8950415,1.0444319,2.1494427,-2.0528452,6.510774,neutral
-716.3534,35.54762,-6.022682,7.942269,-6.150259,-6.971257,-7.0630207,-11.555155,-4.877772,-4.6736703,-2.1677942,-6.6348276,-4.307181,neutral
-593.522,65.67917,3.8455212,12.965606,9.039052,-6.03596,3.4791899,-4.248184,-8.886654,-0.34461355,-0.58672357,-4.0614033,-0.759651,neutral
-700.95215,53.937096,2.6433225,5.049772,5.1998253,-2.8617313,-3.8316193,-6.8061633,-10.53274,-3.2149158,-1.7342288,-5.7512665,0.7410557,neutral
