rmse_mean,emotion
0.002256089,neutral
0.0036161423,neutral
0.003992747,neutral
0.0024753462,neutral
0.0015151297,neutral
0.001603288,neutral
0.0026655176,neutral
0.0025173004,neutral
0.0013555225,neutral
0.009632007,neutral
0.001795997,neutral
0.0026294698,neutral
0.0018986381,neutral
0.0011306009,neutral
0.004334274,neutral
0.0029154676,neutral
0.0039175577,neutral
0.0017810587,neutral
0.0022252742,neutral
0.0015396196,neutral
0.0056148465,neutral
0.0022355262,neutral
0.004705368,neutral
0.0025458573,neutral
0.0024186159,neutral
0.003526408,neutral
0.0037459356,neutral
0.0027499008,neutral
0.0012610094,neutral
0.0020134228,neutral
0.0028401534,neutral
0.0025854192,neutral
0.00093496183,neutral
0.007805806,neutral
0.0025134136,neutral
0.0024937766,neutral
0.0019702588,neutral
0.0010509948,neutral
0.0035462715,neutral
0.0030908561,neutral
0.0038515131,neutral
0.0020600888,neutral
0.0021854471,neutral
0.0021456955,neutral
0.0054041264,neutral
0.002499474,neutral
0.005448015,neutral
0.0023510337,neutral
0.002809294,neutral
0.0053315903,neutral
0.004240741,neutral
0.0025692831,neutral
0.002137701,neutral
0.0021694854,neutral
0.003121129,neutral
0.0029486099,neutral
0.0009951019,neutral
0.011769933,neutral
0.002201467,neutral
0.0033826989,neutral
0.0019860475,neutral
0.0015530372,neutral
0.0043310598,neutral
0.004689115,neutral
0.0047328766,neutral
0.0018398194,neutral
0.0021282977,neutral
0.0018889824,neutral
0.0064308466,neutral
0.0027106374,neutral
0.005910362,neutral
0.0029253694,neutral
0.0026172653,neutral
0.00481182,neutral
0.00451558,neutral
0.0021529053,neutral
0.0017349252,neutral
0.0021663697,neutral
0.0025112806,neutral
0.0028190713,neutral
0.0010864551,neutral
0.007952546,neutral
0.0022832311,neutral
0.003041158,neutral
0.0024379233,neutral
0.0016398795,neutral
0.0043272283,neutral
0.00440188,neutral
0.004564575,neutral
0.001941174,neutral
0.0024813716,neutral
0.0020933335,neutral
0.005138599,neutral
0.0025185845,neutral
0.005913061,neutral
0.0034636843,neutral
0.0016532314,neutral
0.003299657,neutral
0.002763567,neutral
0.0027633025,neutral
0.0011148276,neutral
0.00085902284,neutral
0.0017902569,neutral
0.0017258065,neutral
0.00093187974,neutral
0.008138942,neutral
0.0011143247,neutral
0.0029637928,neutral
0.0016144359,neutral
0.0016116902,neutral
0.0025737875,neutral
0.0022944016,neutral
0.0035831009,neutral
0.0026429112,neutral
0.0011737811,neutral
0.0008075318,neutral
0.0036106515,neutral
0.0015883546,neutral
0.0026179643,neutral
0.0013747382,neutral
0.001752111,neutral
0.0033932026,neutral
0.0029721588,neutral
0.002985455,neutral
0.0007041388,neutral
0.0009865585,neutral
0.0015738851,neutral
0.0016074169,neutral
0.0010878167,neutral
0.0074704303,neutral
0.0013584205,neutral
0.0023956376,neutral
0.0017852715,neutral
0.00096253026,neutral
0.0029176753,neutral
0.003259227,neutral
0.0043685175,neutral
0.0024016318,neutral
0.0013256625,neutral
0.0007389241,neutral
0.0044193757,neutral
0.0016755883,neutral
0.0024604357,neutral
0.0014702068,neutral
0.0026211368,neutral
0.0036745965,neutral
0.0029540802,neutral
0.003955806,neutral
0.0010547161,neutral
0.0013868675,neutral
0.0018824185,neutral
0.002005174,neutral
0.0017461091,neutral
0.010314531,neutral
0.0019467399,neutral
0.0032724948,neutral
0.0016234452,neutral
0.0017700447,neutral
0.0035781225,neutral
0.0031607877,neutral
0.0045539658,neutral
0.0032763416,neutral
0.0015155133,neutral
0.0005919567,neutral
0.0043076305,neutral
0.0022666645,neutral
0.0036716354,neutral
0.0016238657,neutral
0.002669931,neutral
0.0036388037,neutral
0.008056295,neutral
0.0027143138,neutral
0.0017739664,neutral
0.0020796657,neutral
0.0019520461,neutral
0.0017584484,neutral
0.0011036316,neutral
0.011020554,neutral
0.001354358,neutral
0.0029866616,neutral
0.0015906543,neutral
0.001911461,neutral
0.0032278001,neutral
0.003939212,neutral
0.00500198,neutral
0.0032852655,neutral
0.0013019386,neutral
0.0008165368,neutral
0.004172996,neutral
0.0019693095,neutral
0.0034725918,neutral
0.0024201067,neutral
0.0015008143,neutral
0.00274149,neutral
0.0045558447,neutral
0.002612021,neutral
0.0010338245,neutral
0.0010631384,neutral
0.0017933141,neutral
0.0014346461,neutral
0.0005224014,neutral
0.008204983,neutral
0.0010402643,neutral
0.002528436,neutral
0.0015679188,neutral
0.00056165847,neutral
0.0031442281,neutral
0.0030873925,neutral
0.0038210268,neutral
0.0023462486,neutral
0.002686583,neutral
0.0005570401,neutral
0.003678836,neutral
0.0015735751,neutral
0.0031623684,neutral
0.002677708,neutral
0.0016126233,neutral
0.0030213858,neutral
0.007872352,neutral
0.0027035254,neutral
0.00049930095,neutral
0.0010282067,neutral
0.0018901868,neutral
0.0015037006,neutral
0.00070767134,neutral
0.010513508,neutral
0.00095082156,neutral
0.0026220442,neutral
0.0020977724,neutral
0.00079343753,neutral
0.0031544664,neutral
0.005231811,neutral
0.0027910222,neutral
0.0021284118,neutral
0.002178988,neutral
0.0004930463,neutral
0.0037807785,neutral
0.0019327604,neutral
0.0027033603,neutral
0.0018659893,neutral
0.0020959415,neutral
0.003367713,neutral
0.00934959,neutral
0.0032472035,neutral
0.0008583442,neutral
0.0015995499,neutral
0.0024184184,neutral
0.0015717442,neutral
0.0014119701,neutral
