chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,emotion
0.76287144,0.7866855,0.769217,0.76876223,0.7736049,0.7666146,0.77043664,0.76489383,0.78034025,0.7611503,0.7593818,0.73359025,male_neutral
0.56381583,0.5410954,0.52879053,0.5696412,0.5623253,0.5834383,0.6058049,0.6287124,0.62514377,0.58162,0.5622103,0.55624354,female_neutral
0.63311803,0.63542724,0.6494932,0.6649709,0.71126014,0.664937,0.62263066,0.62381774,0.6511822,0.6316113,0.6440156,0.66201794,male_neutral
0.5510298,0.4959353,0.4786442,0.5039741,0.537386,0.5838724,0.6354253,0.60063946,0.5490464,0.5321485,0.5285337,0.56693935,female_neutral
0.7404485,0.754305,0.79443467,0.76235753,0.7506981,0.7664402,0.76074624,0.7269017,0.8100668,0.76618886,0.73694724,0.71938175,male_neutral
0.6764508,0.6241273,0.65146923,0.7247294,0.71638554,0.7360322,0.6956419,0.65290725,0.6936784,0.706503,0.75930035,0.69350004,female_neutral
0.73373616,0.707516,0.7292073,0.7902397,0.7909626,0.7112375,0.6767934,0.67644525,0.7172618,0.75678164,0.75815284,0.728594,male_neutral
0.66608995,0.64101446,0.62575686,0.66882116,0.7025182,0.74844927,0.78603125,0.7164574,0.71351504,0.6668307,0.66610384,0.6671098,female_neutral
0.77809787,0.76000196,0.77429813,0.78149205,0.823666,0.8483831,0.8476004,0.82306564,0.8077274,0.79046375,0.80272233,0.8186745,male_neutral
0.67782044,0.6169823,0.6157823,0.6210854,0.6261677,0.64607966,0.6915463,0.68555415,0.7229378,0.6967417,0.69164145,0.7239388,female_neutral
0.7861838,0.7812069,0.75044703,0.7596032,0.7904124,0.78479195,0.7650943,0.7559699,0.77522206,0.76916397,0.7646835,0.78721315,male_neutral
0.6292573,0.61548436,0.6062849,0.6026814,0.6328313,0.6468062,0.69148,0.7383775,0.6990374,0.6641187,0.67841274,0.6566226,female_neutral
0.76816654,0.784396,0.8000183,0.78934354,0.7699076,0.7811083,0.8051967,0.77652335,0.7894628,0.7888871,0.7667731,0.7510762,male_neutral
0.49953848,0.52198994,0.5377677,0.5490068,0.58567756,0.6059803,0.5879723,0.53370327,0.4932681,0.48253047,0.5009921,0.50530815,female_neutral
0.7131387,0.7689081,0.79080266,0.7552856,0.7494165,0.7525489,0.7489413,0.7410712,0.7048537,0.71408755,0.74050486,0.73871887,male_neutral
0.55075514,0.54120755,0.53988785,0.57400936,0.6065477,0.6097718,0.60943586,0.56834114,0.5806,0.5913346,0.56686276,0.5684009,female_neutral
0.7235686,0.73482776,0.7428609,0.74498904,0.73663485,0.7425887,0.7745082,0.7845319,0.82385117,0.78594404,0.75595236,0.7332609,male_neutral
0.6330161,0.59386003,0.55241567,0.61532545,0.7335532,0.8643284,0.7927144,0.64627224,0.56746525,0.5626353,0.53997356,0.5646775,female_neutral
0.72252834,0.7051085,0.73135436,0.70257807,0.68136376,0.7220998,0.74867076,0.6946312,0.73705584,0.7643972,0.77862686,0.78219134,male_neutral
0.48451644,0.4968415,0.5079783,0.48629054,0.49411798,0.5096082,0.5168114,0.52692455,0.53043544,0.53532434,0.5055297,0.5061774,female_neutral
0.7014754,0.6970483,0.6994907,0.70618826,0.7378491,0.78205866,0.77560365,0.79265034,0.7798551,0.75516045,0.7181155,0.7103622,male_neutral
0.6233189,0.62058645,0.66290706,0.6503014,0.7245395,0.74799997,0.72984034,0.72676075,0.698085,0.6782931,0.6776054,0.68160427,female_neutral
0.7351558,0.75773257,0.71837026,0.678096,0.70723647,0.7151939,0.7082328,0.6914089,0.68777615,0.6278615,0.64051205,0.680365,male_neutral
0.5094984,0.4874567,0.48317644,0.48258784,0.47442013,0.46857804,0.5054079,0.56219226,0.59177595,0.59096,0.5595143,0.5463616,female_neutral
0.74741703,0.78169316,0.774763,0.75551337,0.7708255,0.7834555,0.75427,0.74858,0.7669224,0.76881427,0.77215874,0.7447456,male_neutral
0.61550766,0.6140489,0.60919493,0.6203132,0.6384005,0.64911973,0.662557,0.68893814,0.69991577,0.679239,0.65243524,0.64422005,female_neutral
0.73901504,0.76337665,0.723964,0.7201257,0.7404943,0.72816867,0.74978906,0.7369229,0.73820347,0.7486431,0.7375561,0.7314483,male_neutral
0.56964976,0.51162887,0.4868094,0.49930376,0.554209,0.6102848,0.58829236,0.531206,0.52219653,0.5375684,0.5134523,0.5525922,female_neutral
0.7161779,0.70219177,0.7167877,0.7281872,0.75557595,0.77815866,0.77428395,0.75546515,0.83537316,0.7467246,0.69275415,0.6977021,male_neutral
0.64590836,0.5969155,0.6813177,0.6798491,0.670537,0.7105442,0.69385153,0.6374183,0.65707797,0.65244824,0.69714636,0.71158105,female_neutral
0.74211526,0.7186446,0.7135255,0.7345287,0.759188,0.7351269,0.67692083,0.6534265,0.6918547,0.7656275,0.8020451,0.7479321,male_neutral
0.63668436,0.62829655,0.63129175,0.6516133,0.69866896,0.76767486,0.78139764,0.74112934,0.7411459,0.70546573,0.6975951,0.6553496,female_neutral
0.82638806,0.8057043,0.7743484,0.75733215,0.76108366,0.770903,0.77532905,0.77104163,0.7610552,0.75153595,0.7862037,0.81546646,male_neutral
0.54173315,0.56539404,0.5919745,0.6066786,0.6473443,0.6771788,0.7151825,0.70576406,0.7076517,0.66779315,0.6995191,0.60651815,female_neutral
0.7780013,0.76990676,0.7704218,0.7548409,0.750199,0.7364614,0.74214476,0.74696934,0.7543529,0.74724764,0.7550573,0.7735916,male_neutral
0.67572296,0.6491069,0.6527765,0.64817196,0.6981384,0.71738786,0.7671494,0.7886878,0.7595102,0.6990464,0.69437224,0.68582726,female_neutral
0.7795914,0.7882831,0.79403234,0.78134906,0.76535714,0.75287133,0.7707562,0.76287955,0.7725472,0.7679289,0.76324636,0.76824105,male_neutral
0.5742592,0.57183176,0.5800974,0.5829685,0.5945171,0.6176416,0.65273404,0.65403545,0.6659987,0.632352,0.6077324,0.5984789,female_neutral
0.76639134,0.8178814,0.7687233,0.7501222,0.774756,0.77422076,0.73262876,0.7244064,0.7391172,0.7465076,0.75044477,0.7657743,male_neutral
0.5681704,0.56429,0.5388576,0.53366554,0.5748942,0.62644666,0.6553437,0.6274474,0.5919526,0.5933585,0.6001176,0.5843752,female_neutral
0.7756591,0.77738833,0.7482235,0.7670743,0.775986,0.80493814,0.8072913,0.7858436,0.8046389,0.77812284,0.76862204,0.76352006,male_neutral
0.56538117,0.5576285,0.58976734,0.6738818,0.77089834,0.77473724,0.7058326,0.5993442,0.55486417,0.52348214,0.5618489,0.59985185,female_neutral
0.66793877,0.6968338,0.70938545,0.6961665,0.6986126,0.7345732,0.7267981,0.71577764,0.7610253,0.7355309,0.707759,0.6993491,male_neutral
0.56312954,0.51071686,0.51664263,0.5134529,0.5515087,0.5701001,0.5636007,0.5374203,0.5118992,0.5003465,0.54318655,0.5821592,female_neutral
0.7007736,0.6822542,0.7218127,0.7126937,0.7210132,0.7513015,0.7622738,0.76746696,0.7750885,0.7538276,0.73799586,0.7312044,male_neutral
0.63062394,0.6049171,0.6191498,0.6604503,0.735152,0.74601394,0.7199314,0.72399735,0.72351676,0.6813988,0.6862853,0.69878256,female_neutral
